time_s,mean_x_m,mean_y_m,mean_z_m,rms_x_m,rms_y_m,rms_z_m,mean_px_beta_gamma,mean_py_beta_gamma,mean_pz_beta_gamma,rms_px_beta_gamma,rms_py_beta_gamma,rms_pz_beta_gamma,mean_kinetic_energy_MeV
1.5e-10,-1.480436293930257e-10,1.354273160568791e-10,0.00206344814126776,0.0009884999787371312,0.0009884041223953495,0.000987939753375391,-6.7099582418609854e-09,6.102855966057043e-09,0.08997951184486566,7.021570508811461e-05,6.96333015912684e-05,6.955219601762562e-05,0.002064441407112409
1.5375e-10,-1.5557475094776119e-10,1.4227516820617885e-10,0.002165419461625728,0.0009885774859198007,0.0009884814799591022,0.000988016171875397,-6.872313261303795e-09,6.247914747087483e-09,0.09217954061109593,7.202939862850345e-05,7.143349904879699e-05,7.13646574996628e-05,0.0021664124069731023
1.575e-10,-1.6328582297543913e-10,1.4928374956704093e-10,0.002269832903981902,0.000988656959044772,0.0009885607998995735,0.0009880945134435925,-7.034196751678797e-09,6.392403379105095e-09,0.09437956938374922,7.384215496244594e-05,7.323280091919412e-05,7.317647098880135e-05,0.0022708255215205895
1.6124999999999999e-10,-1.711761967290783e-10,1.5645231189120616e-10,0.00237668697827868,0.0009887383959801832,0.000988642080086934,0.0009881747739697063,-7.195600419689061e-09,6.536311250653076e-09,0.0965795981630683,7.565394888170571e-05,7.503118281332753e-05,7.49876192757084e-05,0.0023776792607096463
1.65e-10,-1.7924521102619504e-10,1.6378009321324618e-10,0.002485980160883693,0.0009888217945456326,0.000988725318342864,0.0009882569492520592,-7.356515025461571e-09,6.6796282583830444e-09,0.09877962694930488,7.746475553803833e-05,7.682862068434754e-05,7.679808536742563e-05,0.0024869721009212037
1.6875e-10,-1.8749219187674395e-10,1.7126631864465683e-10,0.0025977108946971077,0.0009889071525123793,0.0009888105124407523,0.0009883410349981081,-7.51693107767959e-09,6.822344964677843e-09,0.10097965574271733,7.927455041557773e-05,7.862509079884697e-05,7.860785247756643e-05,0.0025987024850696442
1.725e-10,-1.9591645291457542e-10,1.7891020003917426e-10,0.002711877589261178,0.0009889944676035403,0.000988897660105893,0.0009884270268249997,-7.676840945114596e-09,6.964450984686333e-09,0.10317968454357368,8.108330930555843e-05,8.04205697110936e-05,8.041690400713622e-05,0.00271286882271248
1.7624999999999999e-10,-2.0451729751671198e-10,1.8671093673858744e-10,0.0028284786208719183,0.0009890837374942928,0.0009889867590156859,0.0009885149202601374,-7.836237841013264e-09,7.1059383172407165e-09,0.10537971335215081,8.289100828441469e-05,8.221503424211974e-05,8.222522353271493e-05,0.0028294694901620605
1.8e-10,-2.132940200350401e-10,1.9466771804618025e-10,0.002947512332692974,0.0009891749598120825,0.000989077806799844,0.0009886047107417486,-7.995116366562895e-09,7.246799615705044e-09,0.1075797421687384,8.469762369328286e-05,8.400846146348196e-05,8.40327947971123e-05,0.0029485028305997266
1.8375e-10,-2.2224590704049574e-10,2.027797232924824e-10,0.0030689770348716573,0.0009892681321368264,0.0009891708010406042,0.000988696393619481,-8.153470907312104e-09,7.387028184268624e-09,0.10977977099363603,8.650313212513243e-05,8.58008286786748e-05,8.583960170382982e-05,0.0030699671541916658
